team,group,fifa_rank,elo_rating,team_power,attack_strength,defense_strength,eafc_top11_avg_ovr,eafc_star_player,eafc_star_player_rating
Mexico,A,15,1875,0.5741859685286997,0.6690244547552081,0.6397468717618691,76.27272727272727,Edson Álvarez,81.0
United States,D,16,1726,0.5526527177875271,0.6251272009843859,0.6921624588063755,77.63636363636364,Christian Pulisic,83.0
Algeria,J,36,1772,0.547259614738731,0.6764348760998959,0.6642385239723441,78.54545454545455,Riyad Mahrez,85.0
Scotland,C,43,1782,0.5415049498239527,0.6691615467645953,0.6930454164448862,78.36363636363636,Andrew Robertson,85.0
Ecuador,E,23,1938,0.5363032500319208,0.6057681921066375,0.7111523859184395,76.63636363636364,Moisés Caicedo,82.0
South Korea,A,25,1758,0.5348521309732659,0.6647442438195711,0.6408768730173224,77.27272727272727,Heung Min Son,87.0
Czechia,A,41,1740,0.5334600964058911,0.6615845035192414,0.6791191530955463,77.27272727272727,Patrik Schick,82.0
Sweden,F,37,1712,0.5184604524386862,0.647831968264377,0.6613979322304794,78.72727272727273,Alexander Isak,85.0
Ivory Coast,E,39,1695,0.5170034981224377,0.6376931634137919,0.6443022365905087,79.0,Franck Yannick Kessié,82.0
Paraguay,D,38,1834,0.49911404477970267,0.6315216937540293,0.6643176833081627,75.45454545454545,Kaku,79.0
Canada,B,30,1788,0.4858327343690806,0.6278832874396221,0.6578832571506082,74.9090909090909,Alphonso Davies,82.0
Iran,G,21,1772,0.46228946674632015,0.6031793534868998,0.6316623801531336,70.0,Mehdi Taremi,80.0
Australia,D,27,1777,0.45514110202053637,0.5833788378670577,0.6574517458953258,73.0,Mathew Ryan,78.0
Egypt,G,33,1696,0.44996432194220803,0.6225205513984111,0.6000715305940972,76.83333333333333,Mohamed Salah,89.0
DR Congo,K,55,1652,0.4065531310468602,0.6124327418749717,0.5928601036960008,75.0909090909091,Simon Banza,80.0
Bosnia-Herzegovina,B,71,1595,0.3740006207077104,0.6123250634605135,0.6000040206963542,76.0,Edin Džeko,82.0
Saudi Arabia,H,58,1576,0.33778955595703714,0.5309805910364545,0.5851248081993973,73.9090909090909,Salem Al Dawsari,80.0
Tunisia,F,47,1628,0.32301844418563436,0.5577706856010499,0.5641034526701575,72.45454545454545,Ellyes Skhiri,81.0
Uzbekistan,K,57,1714,0.32057274239524924,0.5360316882718715,0.5909121058734905,69.0,Abdukodir Khusanov,72.0
Ghana,L,73,1510,0.31362662954076803,0.5445252076362772,0.5783624036001045,77.9090909090909,Mohammed Kudus,82.0
Panama,L,51,1730,0.2698242501712093,0.5231155072136209,0.5354102058332931,68.72727272727273,Ismael Díaz,74.0
Jordan,J,64,1680,0.2625121257143115,0.5053462935446339,0.5342069500426215,68.5,Musa Al Tamari,75.0
Cape Verde,H,70,1578,0.2579974448507583,0.53477398373975,0.5526978461818569,70.81818181818181,Bruno Varela,75.0
Iraq,I,56,1607,0.22692489523414894,0.49777418746383545,0.5331892041934384,63.1,Kevin Yakob,68.0
Haiti,C,79,1548,0.21316984438748454,0.5064333662414865,0.5356678185641892,66.66666666666667,Jean-Kévin Duverne,71.0
New Zealand,G,88,1562,0.21297799511488025,0.5191973880673112,0.5571759616599392,69.54545454545455,Chris Wood,76.0
Qatar,B,53,1421,0.20905619999837113,0.4653628546877099,0.5519299334146407,71.5,Unavailable in EA FC 25,79.0
South Africa,A,60,1517,0.19811625433932098,0.5041047459224124,0.4914174486117444,65.63636363636364,Lyle Foster,72.0
Curaçao,E,81,1434,0.14251529487576456,0.4556977670333465,0.5285774955769212,65.8,Juninho Bacuna,70.0
