match_number,stage,home,away,central_score,home_xg,away_xg,home_win_prob,draw_prob,away_win_prob,top_5_scorelines
21,Group Stage,United States,Turkey,0-1,1.23,1.47,0.317,0.256,0.427,1-1 (12.1%); 0-1 (9.9%); 1-2 (8.9%); 1-0 (8.3%); 2-1 (7.5%)
22,Group Stage,Paraguay,Australia,1-1,1.33,1.19,0.399,0.268,0.334,1-1 (12.7%); 1-0 (10.6%); 0-1 (9.6%); 2-1 (8.5%); 0-0 (8.0%)
23,Group Stage,Paraguay,Turkey,0-1,1.14,1.48,0.293,0.259,0.448,1-1 (12.3%); 0-1 (10.8%); 1-2 (9.1%); 1-0 (8.3%); 0-2 (7.9%)
24,Group Stage,Australia,Turkey,0-1,1.06,1.53,0.263,0.256,0.481,1-1 (12.2%); 0-1 (11.4%); 1-2 (9.3%); 0-2 (8.8%); 1-0 (7.9%)
25,Group Stage,Germany,Curaçao,2-0,2.44,0.67,0.763,0.154,0.083,2-0 (13.3%); 1-0 (10.9%); 3-0 (10.8%); 2-1 (8.9%); 1-1 (7.3%)
26,Group Stage,Germany,Ivory Coast,1-0,1.83,0.95,0.58,0.227,0.193,1-0 (11.3%); 1-1 (10.8%); 2-0 (10.4%); 2-1 (9.9%); 3-0 (6.3%)
27,Group Stage,Germany,Ecuador,1-0,1.59,1.01,0.509,0.251,0.24,1-1 (11.9%); 1-0 (11.9%); 2-1 (9.5%); 2-0 (9.4%); 0-1 (7.5%)
28,Group Stage,Curaçao,Ivory Coast,0-1,0.93,1.75,0.198,0.235,0.567,0-1 (12.0%); 1-1 (11.2%); 0-2 (10.5%); 1-2 (9.8%); 0-0 (6.9%)
29,Group Stage,Curaçao,Ecuador,0-1,0.81,1.85,0.158,0.221,0.621,0-1 (13.0%); 0-2 (12.0%); 1-1 (10.5%); 1-2 (9.7%); 0-3 (7.4%)
30,Group Stage,Ivory Coast,Ecuador,0-1,1.14,1.39,0.308,0.266,0.426,1-1 (12.6%); 0-1 (11.1%); 1-0 (9.1%); 1-2 (8.8%); 0-0 (8.0%)
31,Group Stage,Netherlands,Japan,1-1,1.4,1.23,0.41,0.261,0.329,1-1 (12.4%); 1-0 (10.1%); 0-1 (8.8%); 2-1 (8.7%); 1-2 (7.6%)
32,Group Stage,Netherlands,Sweden,1-0,1.56,1.07,0.487,0.253,0.261,1-1 (12.0%); 1-0 (11.2%); 2-1 (9.4%); 2-0 (8.8%); 0-1 (7.7%)
33,Group Stage,Netherlands,Tunisia,1-0,1.84,0.91,0.592,0.225,0.183,1-0 (11.7%); 2-0 (10.8%); 1-1 (10.7%); 2-1 (9.9%); 3-0 (6.6%)
34,Group Stage,Japan,Sweden,1-0,1.5,1.17,0.446,0.256,0.297,1-1 (12.2%); 1-0 (10.4%); 2-1 (9.1%); 0-1 (8.1%); 2-0 (7.8%)
35,Group Stage,Japan,Tunisia,1-0,1.76,1.0,0.553,0.234,0.213,1-1 (11.1%); 1-0 (11.1%); 2-1 (9.8%); 2-0 (9.8%); 0-1 (6.3%)
36,Group Stage,Sweden,Tunisia,1-0,1.54,1.11,0.471,0.254,0.275,1-1 (12.1%); 1-0 (10.9%); 2-1 (9.3%); 2-0 (8.3%); 0-1 (7.9%)
37,Group Stage,Belgium,Egypt,1-0,1.75,1.05,0.538,0.236,0.226,1-1 (11.2%); 1-0 (10.7%); 2-1 (9.8%); 2-0 (9.3%); 0-1 (6.4%)
38,Group Stage,Belgium,Iran,1-0,1.66,1.06,0.512,0.244,0.243,1-1 (11.6%); 1-0 (10.9%); 2-1 (9.6%); 2-0 (9.1%); 0-1 (7.0%)
39,Group Stage,Belgium,New Zealand,2-0,2.03,0.86,0.644,0.205,0.151,2-0 (11.5%); 1-0 (11.3%); 2-1 (9.9%); 1-1 (9.7%); 3-0 (7.7%)
40,Group Stage,Egypt,Iran,1-1,1.27,1.36,0.349,0.262,0.39,1-1 (12.4%); 0-1 (9.8%); 1-0 (9.1%); 1-2 (8.5%); 2-1 (7.9%)
41,Group Stage,Egypt,New Zealand,1-0,1.56,1.1,0.478,0.253,0.27,1-1 (12.0%); 1-0 (10.9%); 2-1 (9.4%); 2-0 (8.5%); 0-1 (7.7%)
42,Group Stage,Iran,New Zealand,1-0,1.58,1.04,0.496,0.252,0.252,1-1 (12.0%); 1-0 (11.5%); 2-1 (9.4%); 2-0 (9.0%); 0-1 (7.6%)
43,Group Stage,Spain,Cape Verde,2-0,2.38,0.74,0.738,0.164,0.098,2-0 (12.5%); 1-0 (10.5%); 3-0 (10.0%); 2-1 (9.3%); 1-1 (7.8%)
44,Group Stage,Spain,Saudi Arabia,2-0,2.27,0.75,0.716,0.175,0.109,2-0 (12.5%); 1-0 (11.1%); 3-0 (9.5%); 2-1 (9.5%); 1-1 (8.3%)
45,Group Stage,Spain,Uruguay,1-0,1.65,1.01,0.525,0.245,0.23,1-1 (11.6%); 1-0 (11.6%); 2-1 (9.6%); 2-0 (9.6%); 0-1 (7.0%)
46,Group Stage,Cape Verde,Saudi Arabia,1-1,1.24,1.32,0.347,0.266,0.387,1-1 (12.6%); 0-1 (10.2%); 1-0 (9.6%); 1-2 (8.4%); 2-1 (7.8%)
47,Group Stage,Cape Verde,Uruguay,0-1,0.9,1.76,0.19,0.233,0.577,0-1 (12.3%); 1-1 (11.1%); 0-2 (10.8%); 1-2 (9.8%); 0-0 (7.0%)
48,Group Stage,Saudi Arabia,Uruguay,0-1,0.92,1.68,0.205,0.242,0.553,0-1 (12.5%); 1-1 (11.5%); 0-2 (10.5%); 1-2 (9.6%); 0-0 (7.4%)
49,Group Stage,France,Senegal,1-0,1.61,1.04,0.506,0.249,0.245,1-1 (11.8%); 1-0 (11.4%); 2-1 (9.5%); 2-0 (9.2%); 0-1 (7.4%)
50,Group Stage,France,Iraq,2-0,2.29,0.73,0.724,0.172,0.104,2-0 (12.8%); 1-0 (11.2%); 3-0 (9.7%); 2-1 (9.4%); 1-1 (8.2%)
51,Group Stage,France,Norway,1-0,1.59,1.1,0.486,0.25,0.263,1-1 (11.9%); 1-0 (10.8%); 2-1 (9.4%); 2-0 (8.6%); 0-1 (7.5%)
52,Group Stage,Senegal,Iraq,1-0,1.81,0.9,0.588,0.228,0.184,1-0 (12.0%); 2-0 (10.9%); 1-1 (10.8%); 2-1 (9.8%); 0-0 (6.7%)
