match_id,wc_year,team,opponent,shots,goals,xG,passes_total,passes_completed,pass_completion_pct,pressures
3857297,2022,Poland,Saudi Arabia,9,2,1.7341724849999998,337,259,76.8545994065282,103
3857297,2022,Saudi Arabia,Poland,17,0,1.971976484,582,489,84.02061855670104,123
3857294,2022,Netherlands,Qatar,13,2,1.7139532729999998,832,747,89.78365384615384,137
3857294,2022,Qatar,Netherlands,5,0,0.143716575,486,396,81.48148148148148,127
3857266,2022,France,Denmark,21,2,1.9335694290000003,540,464,85.92592592592592,109
3857266,2022,Denmark,France,10,1,0.8885438419999999,567,479,84.47971781305115,127
3857284,2022,Germany,Japan,26,1,2.7680194209999995,826,723,87.53026634382567,86
3857284,2022,Japan,Germany,12,2,1.249259581,294,215,73.12925170068027,184
3857254,2022,Denmark,Tunisia,11,0,1.566558758,646,544,84.21052631578947,109
3857254,2022,Tunisia,Denmark,13,0,1.0599351179999998,417,315,75.53956834532374,130
3857265,2022,Mexico,Poland,11,0,0.5291349314,544,437,80.33088235294117,96
3857265,2022,Poland,Mexico,6,0,1.137926228,362,259,71.54696132596685,135
3857301,2022,Qatar,Senegal,10,1,0.9600861730000001,452,362,80.08849557522124,149
3857301,2022,Senegal,Qatar,12,3,0.9029646219999999,547,462,84.46069469835467,137
3857268,2022,Belgium,Canada,9,1,0.6700408539999999,534,451,84.45692883895131,83
3857268,2022,Canada,Belgium,22,0,2.5462123360000004,480,401,83.54166666666667,112
3857269,2022,Brazil,Switzerland,13,1,0.922729946,597,507,84.92462311557789,104
3857269,2022,Switzerland,Brazil,6,0,0.288629175,513,428,83.4307992202729,112
3869321,2022,Netherlands,Argentina,12,5,4.487037827,691,572,82.77858176555716,216
3869321,2022,Argentina,Netherlands,19,6,5.856697131000001,640,531,82.96875,190
3857292,2022,Costa Rica,Germany,7,1,1.0347440669999999,374,284,75.93582887700535,125
3857292,2022,Germany,Costa Rica,31,4,4.316106397,766,669,87.33681462140991,140
3857295,2022,Japan,Costa Rica,13,0,0.773533495,619,527,85.1373182552504,146
3857295,2022,Costa Rica,Japan,4,1,0.199368384,470,374,79.57446808510639,161
3869685,2022,Argentina,France,24,7,5.892305926000001,693,560,80.8080808080808,167
3869685,2022,France,Argentina,14,5,5.406617949,570,434,76.14035087719299,194
3869684,2022,Croatia,Morocco,12,2,0.8492689635999999,528,439,83.14393939393939,113
3869684,2022,Morocco,Croatia,9,1,0.9914571200000001,512,431,84.1796875,144
3857256,2022,Serbia,Switzerland,12,2,1.189003535,521,407,78.1190019193858,94
3857256,2022,Switzerland,Serbia,14,3,3.1035154719999998,445,346,77.75280898876404,83
3869151,2022,Argentina,Australia,14,2,1.4815793030000002,728,646,88.73626373626374,127
3869151,2022,Australia,Argentina,5,0,0.42611782,478,384,80.3347280334728,216
3857257,2022,Australia,Denmark,8,1,0.469723377,350,219,62.57142857142857,101
3857257,2022,Denmark,Australia,14,0,0.737154632,715,590,82.51748251748252,101
3857258,2022,Brazil,Serbia,23,2,2.1238895187000004,618,539,87.2168284789644,102
3857258,2022,Serbia,Brazil,5,0,0.16332714399999998,446,351,78.69955156950674,147
3857288,2022,Tunisia,Australia,14,0,1.052170345,548,406,74.08759124087592,121
3857288,2022,Australia,Tunisia,9,1,0.3590377687,404,274,67.82178217821783,127
3857267,2022,Ecuador,Senegal,9,1,1.001662787,465,362,77.84946236559139,113
3857267,2022,Senegal,Ecuador,13,2,1.7074647099999998,311,213,68.48874598070739,126
3857287,2022,Uruguay,South Korea,10,0,0.417294332,570,475,83.33333333333334,102
3857287,2022,South Korea,Uruguay,7,0,0.492992523,463,351,75.80993520518359,103
3869486,2022,Morocco,Portugal,9,1,0.972022875,249,184,73.89558232931726,163
3869486,2022,Portugal,Morocco,12,0,0.7441207567,731,616,84.26812585499316,79
3857260,2022,Saudi Arabia,Mexico,10,1,1.076111142,322,194,60.24844720496895,129
3857260,2022,Mexico,Saudi Arabia,26,2,2.3221233279,488,367,75.20491803278688,139
3857264,2022,Poland,Argentina,4,0,0.197595245,337,267,79.22848664688428,105
3857264,2022,Argentina,Poland,24,2,3.0766596990000004,909,826,90.86908690869086,88
3857289,2022,Argentina,Mexico,5,2,0.325204139,567,476,83.9506172839506,109
3857289,2022,Mexico,Argentina,4,0,0.20639165169999998,403,304,75.43424317617865,147
3869254,2022,Portugal,Switzerland,15,6,2.2842600070000003,488,404,82.78688524590164,172
3869254,2022,Switzerland,Portugal,10,1,1.271827172,528,438,82.95454545454545,106
3869118,2022,England,Senegal,8,3,1.020023461,626,536,85.62300319488818,95
3869118,2022,Senegal,England,10,0,0.972806433,408,323,79.16666666666666,137
3869519,2022,Argentina,Croatia,9,3,1.8643632719999998,432,358,82.87037037037037,192
3869519,2022,Croatia,Argentina,12,0,0.4100536413,648,559,86.26543209876543,98
3869354,2022,England,France,16,1,2.352551477,554,465,83.93501805054152,112
3869354,2022,France,England,8,2,0.8393620340000001,412,328,79.6116504854369,118
3869552,2022,France,Morocco,14,2,2.002449116,387,316,81.65374677002583,190
3869552,2022,Morocco,France,13,0,1.23036399,615,529,86.01626016260163,118
3869420,2022,Croatia,Brazil,13,5,3.766888804,737,639,86.70284938941656,151
3869420,2022,Brazil,Croatia,24,3,4.9503305555,747,652,87.28246318607763,164
3869220,2022,Morocco,Spain,10,3,3.704374606,365,250,68.4931506849315,177
3869220,2022,Spain,Morocco,15,0,2.8454908599,1068,960,89.8876404494382,152
3869219,2022,Japan,Croatia,17,2,4.202976766,582,436,74.91408934707904,133
3869219,2022,Croatia,Japan,21,4,3.988397506,796,657,82.53768844221105,150
3869253,2022,Brazil,South Korea,18,4,3.2614240970000004,641,566,88.29953198127926,103
3869253,2022,South Korea,Brazil,8,1,0.34482727739999997,555,476,85.76576576576576,175
3869152,2022,France,Poland,16,3,1.1263744930000001,593,505,85.16020236087691,117
3869152,2022,Poland,France,12,1,1.593527124,488,406,83.19672131147541,120
3869117,2022,Netherlands,United States,11,3,1.481948115,439,332,75.62642369020502,138
3869117,2022,United States,Netherlands,18,1,1.652097544,618,499,80.74433656957929,103
3857270,2022,Portugal,Uruguay,15,2,1.2137340055999999,626,525,83.86581469648561,86
3857270,2022,Uruguay,Portugal,11,0,1.216681074,438,324,73.97260273972603,125
3857263,2022,Spain,Germany,7,1,0.6395007165,663,578,87.17948717948718,124
3857263,2022,Germany,Spain,11,1,1.1469521137,371,291,78.4366576819407,158
3857259,2022,Cameroon,Serbia,13,3,2.0703093487,395,276,69.87341772151898,118
3857259,2022,Serbia,Cameroon,15,3,1.738067283,536,428,79.8507462686567,119
